 ,CALANDER,CAMERA,CONTACTS,LOCATION,MICROPHONE,PHONE,SENSOR,SMS,STORAGE,OTHERS,TOTAL 
2,0,0,0,0,0,0,0,0,1,0,1
3,0,0,1,0,0,1,0,0,0,0,2
4,0,0,1,0,1,1,0,0,1,0,4
5,0,0,0,0,0,0,0,0,1,0,1
6,0,0,0,0,0,0,0,0,0,1,1
7,0,0,0,0,0,0,0,1,0,0,1
9,0,0,0,0,0,0,0,0,0,1,1
10,0,0,0,0,0,0,0,0,1,0,1
11,0,0,0,0,0,0,0,0,0,1,1
12,0,0,0,0,0,1,0,0,1,0,2
13,0,0,0,1,0,1,0,0,1,0,3
14,0,0,0,0,0,0,0,0,0,1,1
15,0,0,1,1,0,1,0,0,1,0,4
16,0,0,0,0,0,1,0,0,0,0,1
17,0,0,0,0,0,0,0,0,0,1,1
18,0,0,0,0,0,1,0,0,1,0,2
19,0,0,1,1,0,0,0,0,1,0,3
20,0,0,0,0,0,1,0,0,1,0,2
21,0,0,0,0,0,0,0,0,0,1,1
22,0,0,1,0,1,1,0,0,1,0,4
23,0,0,0,0,0,0,0,0,0,1,1
24,0,0,1,0,0,1,0,0,0,0,2
25,0,0,0,0,0,0,0,0,1,0,1
26,0,0,0,0,0,0,0,0,1,0,1
27,0,0,1,0,1,1,0,0,1,0,4
28,0,0,0,0,0,1,0,0,1,0,2
29,0,0,0,0,0,0,0,0,0,1,1
30,0,0,1,1,0,1,0,0,0,0,3
31,0,0,0,0,0,0,0,0,0,1,1
32,0,0,0,0,0,0,0,0,0,1,1
33,0,0,0,0,0,0,0,0,0,1,1
34,0,0,1,0,0,0,0,0,0,0,1
35,0,0,0,0,0,0,0,0,0,1,1
36,0,0,0,0,1,0,0,0,1,0,2
37,0,0,0,0,0,0,0,0,1,0,1
38,0,0,1,0,0,0,0,0,0,0,1
39,0,0,1,0,0,0,0,0,1,0,2
40,0,0,1,0,0,0,0,0,1,0,2
41,0,0,1,0,0,0,0,0,1,0,2
42,0,0,1,0,0,0,0,0,1,0,2
43,0,0,1,0,0,0,0,0,1,0,2
44,0,0,0,0,0,0,0,0,0,1,1
45,0,0,0,0,0,0,0,0,0,1,1
46,0,0,0,0,0,1,0,0,1,0,2
47,0,0,0,0,0,0,0,0,0,1,1
48,0,0,1,0,0,0,0,0,1,0,2
49,0,0,1,0,0,0,0,0,1,0,2
50,0,0,1,0,0,0,0,0,1,0,2
51,0,0,0,0,0,0,0,0,0,1,1
52,0,0,0,0,0,0,0,0,0,1,1
